Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,AAx2,BatteryHolder_MPD_BC2AAPC_2xAA_mod-SMD,29.5,15.75,0,top
C1,1u,C_0402_1005Metric,52.6,17.7,0,top
C2,4.7u,C_0402_1005Metric,48.6,29.7,180,top
C3,4.7u,C_0402_1005Metric,48.6,5,-90,top
C4,4.7u,C_0402_1005Metric,49.7,23.825,180,top
C5,1u,C_0402_1005Metric,34,12.3,90,top
C6,1u,C_0402_1005Metric,35.1,12.3,90,top
C7,2.2u,C_0402_1005Metric,21.5,12.3,-90,top
C8,1u,C_0402_1005Metric,39,12.2,0,top
C9,1u,C_0402_1005Metric,36.8,12.2,0,top
C10,3.3p,C_0402_1005Metric,42.6,1.2,0,top
C11,4.7u,C_0402_1005Metric,20.4,12.3,-90,top
C12,1u,C_0402_1005Metric,42.6,3.6,0,top
C13,0.1u,C_0402_1005Metric,30.9,16.9,-90,top
C14,0.1u,C_0402_1005Metric,34.5,16.9,-90,top
C15,0.1u,C_0402_1005Metric,39,25.4,0,top
C16,0.1u,C_0402_1005Metric,27.89,21.8,180,top
C17,0.1u,C_0402_1005Metric,34.5,27.65,90,top
C18,0.1u,C_0402_1005Metric,27.9,25.1,180,top
C19,0.1u,C_0402_1005Metric,30.9,27.63,90,top
C20,12p,C_0402_1005Metric,39,19.2,0,top
C21,12p,C_0402_1005Metric,39,24.2,180,top
C22,1u,C_0402_1005Metric,39,26.6,0,top
C23,1u,C_0402_1005Metric,27.2,20.73,180,top
C24,1u,C_0402_1005Metric,10.25,15.69,-90,top
C25,1u,C_0402_1005Metric,12.61,5.94,90,top
C26,1u,C_0402_1005Metric,17.4,28.5,-90,top
C27,1u,C_0402_1005Metric,46.3,28.4,-90,top
C28,1u,C_0402_1005Metric,16.9,16.6,0,top
D3,1N5819WS,D_SOD-323,42.1,5.2,0,top
D4,WS2812B-2020,WS2812B-2020,15.1,28.4,0,top
D5,WS2812B-2020,WS2812B-2020,43.9,28.4,0,top
F1,24V 500mA PTC,Fuse_0805_2012Metric,54.7,6.1,180,top
FID1,Fiducial,Fiducial_1mm_Mask2mm,8.5,28,0,top
FID2,Fiducial,Fiducial_1mm_Mask2mm,50.5,3.5,0,top
H1,Tooling_Hole_JLC,JLC_Tooling_Hole,57.5,1.5,0,top
H2,Tooling_Hole_JLC,JLC_Tooling_Hole,1.5,1.5,0,top
H3,Tooling_Hole_JLC,JLC_Tooling_Hole,8,30,0,top
H4,Tooling_Hole_JLC,JLC_Tooling_Hole,51,30,0,top
J1,USB_C_Receptacle_USB2.0,USB-C-16p,7.7225,11.25,-90,top
J2,OLED,OLED-128O064D,29.5,9.445,180,top
L1,3.3u,L_Bourns-SRN4018,45.6,8.7,180,top
Q1,AO3401A,SOT-23,54.5,2.9,0,top
Q2,AO3400A,SOT-23,52,20.7,90,top
R1,10k,R_0402_1005Metric,50.2,6.6,180,top
R2,10k,R_0402_1005Metric,52.6,16.5,180,top
R3,56k,R_0402_1005Metric,9.8,12.5,0,top
R4,56k,R_0402_1005Metric,9.8,9.5,0,top
R5,1k,R_0402_1005Metric,52,6.1,-90,top
R6,1k,R_0402_1005Metric,50.8,17.1,90,top
R7,200k,R_0402_1005Metric,42.6,2.4,0,top
R8,51k,R_0402_1005Metric,45.09,1.9,0,top
R9,150k,R_0402_1005Metric,47.2,1.9,0,top
R10,330k,R_0402_1005Metric,22.6,12.3,-90,top
R11,4.7k,R_0402_1005Metric,28.46,12.4,90,top
R12,4.7k,R_0402_1005Metric,26.78,11.97,180,top
R13,10k,R_0402_1005Metric,11.4,21.3,0,top
R14,10k,R_0402_1005Metric,30.7,12.4,90,top
R15,10k,R_0402_1005Metric,11.39,20.125,0,top
R16,10k,R_0402_1005Metric,12.6,3.4,-90,top
R17,22,R_0402_1005Metric,27.9,24,0,top
R18,22,R_0402_1005Metric,27.9,22.9,0,top
R19,10k,R_0402_1005Metric,24.1,17.39,0,top
R20,1k,R_0402_1005Metric,27.95,18.57,0,top
SW1,SSSS811101,SSSS811101,56.75,15.8,90,top
SW2,TS-1187A-B-A-B,SW_SPST_TL3342,5.6,20.3,180,top
SW3,TS-1187A-B-A-B,SW_SPST_TL3342,7,3.2,0,top
U1,RT9080-33GJ5,SOT-23-5,49.25,26.7625,-90,top
U2,TPS61040DBV,SOT-23-5,45.9,4.5,0,top
U3,RP2040,QFN-56_EP_7x7_Pitch0.4mm,33.5,22.3,90,top
U4,W25Q64JV,SOIC-8W_5.3x5.3mm_P1.27mm,20.1,20.4,180,top
Y1,XYDBPCNANF-12MHZ,Crystal_SMD_2520-4Pin_2.5x2.0mm,39.4,21.7,-90,top
